1471589,디시인사이드,2019-02-13 00:00:00,https://gall.dcinside.com/mgallery/board/view/?id=mobis&no=73879&page=447,오늘 서명진은 아예 안쓸거 같은데,지금 경기 느슨하게 해서 가비지 날려고 하면 다시 좁혀짐 - dc official App,
1471590,디시인사이드,2019-02-13 00:00:00,https://gall.dcinside.com/mgallery/board/view/?id=mobis&no=73878&page=447,이런 경기는 솔까 4쿼터 그냥 통가비지 돌려야 하는 경기,3쿼터까지 20점차 이상 내놓고 4쿼터 못해도 5분부터는 주전 다 빼주고 가비지 돌려야지 또 대충하다가 다 따라잡혀서 주전 돌리면 개빡돌듯 이겨도 좆같은 경기,
1471591,디시인사이드,2019-02-13 00:00:00,https://gall.dcinside.com/mgallery/board/view/?id=mobis&no=73877&page=447,근데 명진이 출전시간이 너무 팍 줄었네,명진이 뛰는것좀 보고싶다,
1471592,디시인사이드,2019-02-13 00:00:00,https://gall.dcinside.com/mgallery/board/view/?id=mobis&no=73876&page=447,kt 전반끝났는데 22점,덴트몬 없는게 이리큰가? - dc official App,
1471593,디시인사이드,2019-02-13 00:00:00,https://gall.dcinside.com/mgallery/board/view/?id=mobis&no=73875&page=447,근데 왜 밀좆이야?,좆만해서? - dc official App,
1471594,디시인사이드,2019-02-13 00:00:00,https://gall.dcinside.com/mgallery/board/view/?id=mobis&no=73874&page=447,이상민은 대학감독이 어올리는듯,감독으로서 능력이 없는듯.. 몇년을 해도 발전이 없고  그냥 선수빨에 의존하는 스탈 임기응변도 없는거 같고 삼성 좋은소리 나오는건 자율주는거 밖에 기사 안뜨던데 자율하면 대학농구가 딱 일듯 작년 주엽이 보고 답도 없는구나 했는데 올해 하는거보면 존나 잘하더만 예능판에서도 굴다오니 눈치 센스도 있어서 이제 크블판에 잘 적응한듯 삼성은 농구 제대로하고 싶으면 감독부터 갈아치워야,
1471595,디시인사이드,2019-02-13 00:00:00,https://gall.dcinside.com/mgallery/board/view/?id=mobis&no=73873&page=447,태종이형은 올해가 마지막,아예 발이 안 움직인다 용준이형은 한시즌 더하고 ㅋ - dc official App,
1471596,디시인사이드,2019-02-13 00:00:00,https://gall.dcinside.com/mgallery/board/view/?id=mobis&no=73872&page=447,문태종은 한 5경기에 한 번 씩 써야함,한경기 뛰고 한 열흘 쉬어야 터질까 말까...ㅋㅋㅋㅋ,
1471597,디시인사이드,2019-02-13 00:00:00,https://gall.dcinside.com/mgallery/board/view/?id=mobis&no=73871&page=447,문태종 심각하다,전혀 공을 못따라감 발이 붙어있어 - dc official App,
1471598,디시인사이드,2019-02-13 00:00:00,https://gall.dcinside.com/mgallery/board/view/?id=mobis&no=73870&page=447,대성이 진짜 여유로워졌네,시간 보고 레이업 서둘러 올리는거 보소,
